idx,sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
,When you go down the hill all of the PE moves to be KE.,P5_04_04_22-23,,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,So the initial drop has to more than the hill height otherwise it won't make it.,P5_04_04_22-23,,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,The more mass you have the more energy you will have.,P5_04_04_22-23,,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,"The law of conservation of energy even states that energy can't be destroyed nor made.You also have the relationship between PE,KE and total energy and how it affects the ride.",P5_04_04_22-23,,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,"KE is energy in moving objects.TE is total energy in the object which is both PE,and KE together.",P5_04_04_22-23,,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,So the initial drop has to be more than the hill height otherwise it won't make it.,P5_04_04_22-23,,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"The relationship between PE and KE is, when PE goes down, KE goes up, and this creates the total energy.",P5_04_16_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"In order for the coaster to make it to the end, the hill height must be shorter than the initial drop or else it wont make it to the end of the ride.",P5_04_16_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"The relationship between potential energy and kinetic energy is, when the thing or object starts to lose it's potential energy, the energy is being converted into kinetic energy which creates the total energy at the end.",P5_04_16_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"Since the Law of Conservation of Energy states that energy can neither be created nor destroyed, only converted from one form of energy to another, In order for the coaster to make it to the end, the hill height must be shorter than the initial drop or else it wont make it to the end of the ride.",P5_04_16_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,acceptable,unacceptable
,We want a higher initial drop because that will create a higher PE.,P5_06_07_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,This is because energy cannot be created or destroyed.,P5_06_07_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,That is called the Law of Conservation.,P5_06_07_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,And at the top of the hill PE is always higher than KE and PE and KE always equal the total energy.,P5_06_07_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,This is also because of the Law of Conservation because enrgy can only be converted not created or destroyed.,P5_06_07_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,The initial drop should never be lower than the hill height.,P5_06_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,More total energy with a higher mass too.,P5_06_07_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,"The velocity would increase because the higher the initial drop height, the higher the amount of potential energy there is.",P6_04_04_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,Potential energy transfers into kinetic energy as the car drops from the initial drop height because of the Law of the Conservation of Energy.,P6_04_04_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"If you decide to add a hill, remember that the hill height must be lower than that of the initial drop because energy can't be created, the car won't gain enough energy to make it over any hills larger than the initial drop.",P6_04_04_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,A heavier car gains more potential energy than that of a lighter car.,P6_04_04_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,The height of the hill affects the potential energy at the top of the hill because as we know when the height is greater there will be more potential energy.,P1_01_13_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,This also means there will be more kinetic energy because according to the law conservation of energy can not be created nor destroyed but it can be transferred into other types of non-useable energy which is because of friction.,P1_01_13_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,Even with non-useable energy all the potential and kinetic energy will be added together and be the total energy at any point in the roller coaster.,P1_01_13_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,This would be the best selection because we can't have a hill higher or equal to the initial drop because it would need energy that it doesn't have and because of the law of conservation of energy we know we can't just create energy.,P1_01_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"The mass of the car should be 50 kg because mass and energy are a direct relationship, so when mass is higher energy is higher.",P1_01_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,When the cart moves down the hill PE is transferred into KE and they can keep going back and forth while going up and down hills.,P1_01_13_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,Begin setting the initial drop to 5 meters because the higher your initial drop is the more energy will be produced.,P6_06_23_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"Well, the more mass, the more total energy for the car to use to accelerate.",P1_05_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,"When it starts to move, and go down the hill, the potential energy will be converted to kinetic energy.",P1_05_23_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,The total energy will never change during this time.,P1_05_23_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,"This is because the law of conservation of mas states that energy can't be created, or destroyed.",P1_05_23_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,"Since all of the potential energy has been converted to kinetic energy, which means tons a speed and tons of fun.",P6_03_21_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"The law of conservation of energy states that energy can change forms, but energy can't be created or destroyed.",P6_03_21_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,My data states that the best height of a hill is 4 m. It's the best height for my hill because it will have enough kinetic energy to ride over the hill since the hill height isn't taller or the same height as my initial drop.,P6_03_21_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,The total energy remains constant on my roller coaster.,P6_03_21_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,all the energy works together because KE and PE are opposite so when goes down the other goes up and when you add that gives the total energy.,P6_06_09_22-23,E1,unacceptable,acceptable,acceptable,unacceptable,unacceptable,unacceptable
,because The higher initial drop height the more PE and on the bottom there is more KE.,P6_06_09_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,the coaster we use is the heavyset coaster sitting a 60kg we did this cause the higher the mass of the car will give it more energy the 60kg car had a total energy of 2356.,P6_06_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
,it is that size because the drop height has to be higher then the hill in order for it to go over and not go backwards.,P6_06_09_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,throughout the ride the total energy stays the same then on the bottom of the hill there is a big loop that uses the energy from the hill.,P6_06_09_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
,because The higher initial drop height the more PE and on the bottom there is more KE and the more total energy.,P6_06_09_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"When we were testing and experimenting with the best roller coaster, we noticed that when the initial drop was lower, the amount of Joules was severely slower than that of a higher drop.",P6_03_23_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
,"Energy never gets destroyed or created, this is called the law of conservation of energy.",P6_03_23_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
,"For your hill height, it must be less than the initial drop height if you want to get the car over the hill.",P6_03_23_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
,"This is kinetic energy being converted into potential energy, when the car makes it over the hill, the potential energy is converted back into kinetic energy and starts to gain speed going down the hill.",P6_03_23_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
