sentence,essay_id,essay_type,CU0,CU1,CU2,CU3,CU4,CU5
The 5 meter start height will give the car enough potential energy to not only finish but also do it fast and fun.,P1_07_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The higher the initial drop is, the more potential energy the car will have.",P1_07_10_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
We started with 5 meters and kept going down by a meter.,P1_07_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
And we noticed the total energy went from 2668 to 2134J then went lower and lower each time we went down.,P1_07_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The hill height set to 4 meters will also add more excitement while also being shorter than the initial drop, If the hill height was higher than the initial drop, the car wouldn't have enough energy to make it up the hill.",P1_07_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"And putting the hill height to 4 or less it would make it over, but 4 adds the most excitement and speed.",P1_07_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
In our experiment 2152J was the most energy out of all the hill heights and we got it from 4 meters.,P1_07_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"And since we are making an original roller coaster in the sence of only reliing 
The car mass as 60 will add to the speed of the coaster and make the ride more exciting.",P1_07_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Mass is both in kinetic and potential energy's' formulas so the more mass you have the faster it will go because the total energy will be higher.,P1_07_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
In all of our experiments the both mass & height had a direct relationship with energy.,P1_07_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
For mass we started with 60kg and went down from there to 40 and every time the total energy shrunk.,P1_07_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
It started as 2934 all the way down to 1956J.,P1_07_10_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1: Through lots of research, I have figured out the requirements and recommendations for the best roller coaster design so far.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The amount of energy during the initial drop correlates with the height of it.,P6_03_13_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If you want the car to have more KE at the bottom and more PE at the top, choose a high initial drop.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If you want less KE at the bottom and less PE at the top, choose a lower initial drop.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This is shown in my data.,P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the initial drop was 2 meters tall, the car only had 1071J of energy.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the initial drop was 5 meters tall, the car had 2688J of energy.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I recommend a higher initial drop to thrill the riders with more speed.,P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
A higher initial drop allows the cart to build up more speed and allows you to have higher hills.,P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If you want a hill, it needs to be lower than the initial drop.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
The car needs enough KE to go over the hill.,P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If the hill is the same height or taller than the initial drop, the car won't have enough KE to make it over.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
All of the KE will transfer into PE before the car makes it over and the cart will lose it's speed.,P6_03_13_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When I did an initial height of 5 meters and a hill height of 5 meters, the cart did not make it over.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When i did a hill height of 4 meters and an initial drop of 5 meters, the car made it to the end.Keep in mind that the total amount of energy never changes.",P6_03_13_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
Energy cannot be created or destroyed.,P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
"When the car is going up, it's losing KE and speed but gaining PE.",P6_03_13_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the car is going down, it's gaining KE and speed but losing PE.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I recommend a hill slightly lower than the initial drop so the riders can experience two high drops.,P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
You should also think about the mass of the car.,P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The mass of the car effects the amount of energy and the speed.,P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If you want more energy and more speed, you should have a car with a higher mass.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
"If you want less energy and less speed, you should have a cart with less mass.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Examples of this are shown in my data.,P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When I did a car mass of 40kg, the car had a total energy of 1957J of energy and went a decent speed.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When I did a car mass of 60kg, the car had a total energy of 2936J of energy and went much faster.",P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I also observed that the car with a higher mass lost speed faster when going up.,P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This is because gravity has more of an effect on the heavier object.,P6_03_13_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1R: Through lots of research, I have figured out the requirements and recommendations for the best roller coaster design so far.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The amount of energy during the initial drop correlates with the height of it.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If you want the car to have more KE at the bottom and more PE at the top, choose a high initial drop.",P6_03_13_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If you want less KE at the bottom and less PE at the top, choose a lower initial drop.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This is shown in my data.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the initial drop was 2 meters tall, the car only had 1071J of energy.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the initial drop was 5 meters tall, the car had 2688J of energy.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I recommend a higher initial drop to thrill the riders with more speed.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
A higher initial drop allows the cart to build up more speed and allows you to have higher hills.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If you want a hill, it needs to be lower than the initial drop.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
The car needs enough KE to go over the hill.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If the hill is the same height or taller than the initial drop, the car won't have enough KE to make it over.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
All of the KE will transfer into PE before the car makes it over and the cart will lose it's speed.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When I did an initial height of 5 meters and a hill height of 5 meters, the cart did not make it over.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When i did a hill height of 4 meters and an initial drop of 5 meters, the car made it to the end.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Keep in mind that the total amount of energy never changes.,P6_03_13_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
Total energy is the amount of PE + KE on any point of the coaster.,P6_03_13_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
Energy cannot be created or destroyed.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
"When the car is going up, it's losing KE and speed but gaining PE.",P6_03_13_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When the car is going down, it's gaining KE and speed but losing PE.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I recommend a hill slightly lower than the initial drop so the riders can experience two high drops.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
You should also think about the mass of the car.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The mass of the car effects the amount of energy and the speed.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If you want more energy and more speed, you should have a car with a higher mass.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
"If you want less energy and less speed, you should have a cart with less mass.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Examples of this are shown in my data.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When I did a car mass of 40kg, the car had a total energy of 1957J of energy and went a decent speed.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"When I did a car mass of 60kg, the car had a total energy of 2936J of energy and went much faster.",P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I also observed that the car with a higher mass lost speed faster when going up.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This is because gravity has more of an effect on the heavier object.,P6_03_13_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1: Dear Gonzales family,
I hope this letter finds you well.",P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
My team and I have discovered much about the physics of roller coasters in the past couple of days.,P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Here are some important things for you all to know:

Firstly, the higher the initial drop height is the more potential energy the car will have at the top and the more kinetic energy it will have at the bottom of the coaster.",P6_04_12_22-23,E1,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Assuming nothing else is different between the coasters a coaster with an initial drop height of 3m will have more energy than a coaster with a drop height of 2m and less energy than a coaster with an drop height of 4m.,P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Additionally, when a car is at the top of a hill there is only potential energy and no kinetic.",P6_04_12_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
As the car moves down the hill that potential energy begins to convert to kinetic energy and by the time the car reaches the bottom there is only kinetic energy and no potential.,P6_04_12_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
The total amount of energy will stay the same.,P6_04_12_22-23,E1,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
Something important to understand is the Law of Conservation of Energy.,P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
It states that energy cannot be created nor destroyed only converted from one type to another.,P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
"This means that the total amount of energy that a roller coaster car possesses will stay the same no matter where it is on the track, however the amount of kinetic and potential energy may fluctuate.",P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The energy cannot be created or destroyed only converted, so when the amount of potential energy goes up the amount of kinetic will go down and vice versa.",P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Another thing to know is that the more mass a roller coaster car has the more potential energy it has at the top and the more kinetic energy it has at the bottom.,P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Assuming nothing else is different between the coasters a coaster car with a mass of 50kg will have more energy than a coaster car with a mass of 40kg and less energy than a coaster car with a mass of 60kg.,P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Possibly the most important thing to know is that a roller coaster car cannot reach the end of the coaster if it has a hill that has a height that is higher or equal to the initial drop height.,P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
There simply is not enough energy for the car to make it up a hill that is taller than the initial drop height.,P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"The big takeaways are that a good roller coaster has a high initial drop height, a car with a large mass, and doesn't have any hills with heights higher than the initial drop height.",P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I look forward to working more on your coaster in the future!,P6_04_12_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1R: Dear Gonzales family,
I hope this letter finds you well.",P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
My team and I have discovered much about the physics of roller coasters in the past couple of days.,P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Here are some important things for you all to know:

Firstly, the higher the initial drop height is the more potential energy the car will have at the top and the more kinetic energy it will have at the bottom of the coaster.",P6_04_12_22-23,E1R,acceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Assuming nothing else is different between the coasters a coaster with an initial drop height of 3m will have more energy than a coaster with a drop height of 2m and less energy than a coaster with an drop height of 4m.,P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"Additionally, when a car is at the top of a hill there is only potential energy and no kinetic.",P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
As the car moves down the hill that potential energy begins to convert to kinetic energy and by the time the car reaches the bottom there is only kinetic energy and no potential.,P6_04_12_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
The total amount of energy will stay the same.,P6_04_12_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
Something important to understand is the Law of Conservation of Energy.,P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
It states that energy cannot be created nor destroyed only converted from one type to another.,P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,acceptable,unacceptable,unacceptable
"This means that the total amount of energy that a roller coaster car possesses will stay the same no matter where it is on the track, however the amount of kinetic and potential energy may fluctuate.",P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"The energy cannot be created or destroyed only converted, so when the amount of potential energy goes up the amount of kinetic will go down and vice versa.",P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Another thing to know is that the more mass a roller coaster car has the more potential energy it has at the top and the more kinetic energy it has at the bottom.,P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,acceptable
Assuming nothing else is different between the coasters a coaster car with a mass of 50kg will have more energy than a coaster car with a mass of 40kg and less energy than a coaster car with a mass of 60kg.,P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
Possibly the most important thing to know is that a roller coaster car cannot reach the end of the coaster if it has a hill that has a height that is higher or equal to the initial drop height.,P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
There simply is not enough energy for the car to make it up a hill that is taller than the initial drop height.,P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
"The big takeaways are that a good roller coaster has a high initial drop height, a car with a large mass, and doesn't have any hills with heights higher than the initial drop height.",P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I look forward to working more on your coaster in the future!,P6_04_12_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"E1: If I were to design a roller coaster for the Gonzales theme park, i tell them the height of the initial drop must be higher than the hill that comes after it because if is not, the amount of total energy would be the same for both hills and with all the Potential energy, it still wouldn't be enough to get to the top of the hill.",P6_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
The relationship between kinetic energy and potential energy is at the top of a hill there will be more potential energy than Kinetic but as the car moves down the track the Potential energy and Kinetic Energy flip and at the bottom of the hill is where the Kinetic energy will be more than the potential energy.,P6_04_15_22-23,E1,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
"So if the hills were the same height it wouldn't have enough total energy to get to the top of the second hill, which is why the initial hill should always be higher than the additional hill.",P6_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I would start with a higher initial hill so the higher it is the more total energy it will have and then it will go faster and be able to clear the additional hill in front of it.,P6_04_15_22-23,E1,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
E1R: If I were to design a roller coaster for the Gonzales theme park.,P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I would tell them.,P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,acceptable,unacceptable
The height of the initial drop must be higher than the hill that comes after it.,P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"If is not, the amount of total energy would be the same for both hills and with all the Potential energy, it still wouldn't be enough to get to the top of the hill.",P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
This is shown in my data on the subject Add a hill on my first trial.,P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
I set my initial height and my additional hill height both to 5m.,P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The potential energy at the top of the initial hill was 2449J and the kinetic energy was 0J.,P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
"At the top of the additional hill the potential energy was 2449J and the kinetic energy was 0 so it had no more energy to go farther, so the cart didnt have enough kinetic energy to get past the second hill.",P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
The relationship between kinetic energy and potential energy is at the top of a hill there will be more potential energy than Kinetic.,P6_04_15_22-23,E1R,unacceptable,acceptable,unacceptable,unacceptable,unacceptable,unacceptable
But as the car moves down the track the Potential energy and Kinetic Energy flip and at the bottom of the hill is where the Kinetic energy will be more than the potential energy.,P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
As the car moves it keeps the total energy the same but only changes the kinetic energy and potential energy.,P6_04_15_22-23,E1R,unacceptable,unacceptable,acceptable,unacceptable,unacceptable,unacceptable
This is shown in my data on trial three of Mass & Energy.,P6_04_15_22-23,E1R,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable,unacceptable
